id,title,date,developer_name,publisher_name,reviews_total,reviews_recent,reviews_total_summary,reviews_recent_summary,original_price,discount_price,discount_percent,achievements_number,langs_number,dlcs_number,has_ost,is_dlc,is_ost,short_desc,dlcs,tags,genres,languages,url,developer_url,publisher_url
381210,Dead by Daylight,14 JUN 2016,Behaviour Interactive Inc.,Behaviour Interactive Inc.,651204,6534,Mayormente positivas,Mayormente positivas,19.99,,,297,15,36,True,False,False,Dead by Daylight es un juego de horror de multijugador (4 contra 1) en el que un jugador representa el rol del asesino despiadado y los 4 restantes juegan como supervivientes que intentan escapar de él para evitar ser capturados y asesinados.,Dead by Daylight: Stranger Things Chapter 2|Dead by Daylight - Sinister Grace|Dead by Daylight: The Walking Dead|Dead by Daylight: Five Nights at Freddy’s|Dead by Daylight - Steady Pulse|Dead by Daylight - Tokyo Ghoul|Dead by Daylight - Doomed Course|Dead by Daylight - Castlevania Chapter|Dead by Daylight - Tomb Raider Chapter|Dead by Daylight - Dungeons & Dragons|Dead by Daylight - All Things Wicked Chapter|Dead by Daylight - Alan Wake Chapter|Dead by Daylight - Endless Hunt Pack|Dead by Daylight - Maddening Darkness Pack|Dead by Daylight - Old Wounds Pack|Dead by Daylight - Macabre Tales Pack|Dead by Daylight - Chucky Chapter|Dead by Daylight - Stranger Things Chapter|Dead by Daylight - Alien Chapter Pack|Dead by Daylight - Nicolas Cage Chapter Pack|Dead by Daylight - End Transmission Chapter|Dead by Daylight - Resident Evil: PROJECT W Chapter|Dead by Daylight - Sadako Rising Chapter|Dead by Daylight - Resident Evil Chapter|Dead by Daylight - Escape Expansion Pack|Dead by Daylight - Terror Expansion Pack|Dead by Daylight - A Nightmare on Elm Street™|Dead by Daylight - Ash vs Evil Dead|Dead by Daylight - The Saw® Chapter|Dead by Daylight - Leatherface™|Dead by Daylight - Ghost Face®|Dead By Daylight - Silent Hill Chapter|Dead by Daylight - A Lullaby for the Dark Chapter|Dead by Daylight - The Last Breath Chapter|Dead by Daylight - Left Behind|Dead by Daylight - Charity Case,Terror|Multijugador|Supervivencia / Terror|Cooperativos en línea|Cooperativos|Supervivencia|Sangrientos|Basados en equipos|Sangre|Tercera persona|Sigilo|Violentos|Primera persona|Terror psicológico|Acción|Ambientales|Estrategia|Comedia|Para adultos|Difíciles,Acción,Español de España|Inglés|Francés|Italiano|Alemán|Ruso|Chino simplificado|Portugués de Brasil|Tailandés|Chino tradicional|Japonés|Coreano|Polaco|Español de Hispanoamérica|Turco,https://store.steampowered.com/app/381210/,https://store.steampowered.com/developer/behaviourinteractive,https://store.steampowered.com/publisher/behaviourinteractive
1086940,Baldur's Gate 3,3 AGO 2023,Larian Studios,Larian Studios,733568,5271,Extremadamente positivas,Muy positivas,59.99,,,54,15,2,False,False,False,"Reúne a tu grupo y vuelve a los Reinos Olvidados en un relato de compañerismo y traición, sacrificio y supervivencia, además de la atracción de un poder absoluto.",Baldur's Gate 3 - Digital Deluxe Edition DLC|Baldur's Gate 3 Toolkit Data,Rol|Personalización de personajes|Las elecciones importan|Dragones y Mazmorras|Combate por turnos|Buena trama|Contenido sexual|Rol clásico|Fantasía|Aventura|Romance|Cooperativos en línea|Multijugador|Estrategia|Un jugador|Desnudos|Campañas cooperativas|Basados en clases|Fantasía oscura|Combate,Aventura|Rol|Estrategia,Español de España|Inglés|Francés|Alemán|Polaco|Ruso|Chino simplificado|Turco|Portugués de Brasil|Italiano|Español de Hispanoamérica|Chino tradicional|Ucraniano|Coreano|Japonés,https://store.steampowered.com/app/1086940/,https://store.steampowered.com/developer/larianstudios,https://store.steampowered.com/publisher/larianstudios
3552140,Retro Rewind - Video Store Simulator,17 MAR 2026,Blood Pact Studios,Blood Pact Studios,4141,,Extremadamente positivas,,19.9,,,18,4,0,True,False,False,"¡Dirige tu propio videoclub a principios de los 90'! Alquila, vende, decora y amplía tu negocio desde cero, ¡y revive la época dorada del alquiler de vídeos!",,Gestión de tiendas|Simulación|Relajantes|Casuales|Simulador inmersivo|Gestión|Gestión de recursos|Un jugador|Gestión de inventario|Películas|Economía|Construcción|3D|Primera persona|Comercio|Retro|Coloridos|Estilizados|Ambientales|Indie,Casual|Indie|Simuladores,Español de España|Inglés|Francés|Alemán,https://store.steampowered.com/app/3552140/,,
418370,Resident Evil 7 Biohazard,23 ENE 2017,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",79931,2467,Extremadamente positivas,Extremadamente positivas,19.99,7.99,60,58,15,5,True,False,False,"El peligro y la soledad emanan de las decrépitas paredes de una granja abandonada en el sur de los EE. UU. «7» marca un nuevo inicio para el género del survival horror, con el cambio a la aterradora perspectiva de jugador «vista aislada». Con el RE Engine, el terror llega a nuevas cotas de fotorrealismo.",Not A Hero|End of Zoe|Resident Evil 7 - Season Pass|Banned Footage Vol.1|Banned Footage Vol.2,Terror|Supervivencia / Terror|Primera persona|Un jugador|RV|Sangrientos|Ambientales|Zombis|Terror psicológico|Acción|Violentos|Puzles|Supervivencia|Multijugador|Buena trama|Aventura|FPS|Exploración|Disparos|Clásicos,Acción|Aventura,Español de España|Inglés|Francés|Italiano|Alemán|Japonés|Portugués de Brasil|Árabe|Coreano|Ruso|Chino simplificado|Chino tradicional|Polaco|Tailandés|Español de Hispanoamérica,https://store.steampowered.com/app/418370/,https://store.steampowered.com/developer/capcom,https://store.steampowered.com/publisher/capcom
3164500,Schedule I,24 MAR 2025,TVGS,TVGS,265171,7770,Extremadamente positivas,Extremadamente positivas,19.5,,,13,1,0,False,False,False,"From small-time dope pusher to kingpin - manufacture and distribute a range of drugs throughout the grungy city of Hyland Point. Expand your empire with properties, businesses, employees and more.",,Simulación|Cooperativos|Crimen|Gestión|Multijugador|Mundo abierto|Primera persona|Fabricación|Automatización|Construcción de bases|Acción|Construcción|Sigilo|Estrategia|Personalización de personajes|Conducción|Disparos|FPS|Acceso anticipado|Acción y aventura,Acción|Indie|Simuladores|Estrategia|Acceso anticipado,Inglés,https://store.steampowered.com/app/3164500/,,
582660,Black Desert,24 MAY 2017,Pearl Abyss,Pearl Abyss,61752,484,Mayormente positivas,Variadas,9.99,,,0,11,3,False,False,False,"Con más de 20 millones de aventureros, black Desert Online es un MMORPG de acción de mundo abierto. ¡Experimenta su intenso combate, enfréntante a Jefes mundiales, asedia castillos junto a tus amigos y mejora en diversas profesiones como pesca, comercio, manufactura, y cocina, entre otras!",[NA/EU] Black Desert - Traveler to Explorer|[NA/EU] Black Desert - Explorer to Conqueror|[NA/EU] Black Desert - Traveler to Conqueror,Sandbox|Rol de acción|Exploración|MMORPG|Bélicos|Fabricación|Medievales|JcJ|Primera persona|Acción y aventura|Mundo abierto|Personalización de personajes|Rol|Estrategia|3D|Cocina|Fantasía|Acción|Magia|Cinematográficos,Acción|Aventura|Multijugador masivo|Rol|Estrategia,Español de España|Inglés|Francés|Alemán|Japonés|Ruso|Tailandés|Turco|Chino tradicional|Portugués de Brasil|Español de Hispanoamérica,https://store.steampowered.com/app/582660/,https://store.steampowered.com/developer/Pearlabyss,https://store.steampowered.com/publisher/Pearlabyss
2479810,Gray Zone Warfare,30 ABR 2024,"MADFINGER Games, a.s.","MADFINGER Games, a.s.",61122,2858,Mayormente positivas,Mayormente positivas,39.99,26.79,33,0,12,0,False,False,False,"Adéntrate en el mundo abierto de este arriesgado juego de disparos táctico con enfoque JcE. Cumple misiones en solitario o con tu pelotón en una isla en cuarentena del sudeste asiático, en plena guerra entre facciones. Lábrate una reputación y descubre la verdad sobre el Suceso que la desencadenó.",,FPS|Tácticos|Realistas|Disparos y extracción|Simulación|Mundo abierto|Militares|Disparos|Acción|Competitivos|JcE|Personalización de armas|Multijugador|JcJ|Modernos|Cooperativos en línea|Supervivencia|Bélicos|Multijugador masivo|Acceso anticipado,Acción|Multijugador masivo|Simuladores|Acceso anticipado,Español de España|Inglés|Francés|Italiano|Alemán|Checo|Japonés|Coreano|Polaco|Portugués de Brasil|Chino simplificado|Turco,https://store.steampowered.com/app/2479810/,https://store.steampowered.com/developer/MADFINGER,https://store.steampowered.com/publisher/MADFINGER
3241660,R.E.P.O.,26 FEB 2025,semiwork,semiwork,299164,9007,Extremadamente positivas,Muy positivas,9.49,,,0,1,0,False,False,False,"An online co-op horror game with up to 6 players. Locate valuable, fully physics-based objects and handle them with care as you retrieve and extract to satisfy your creator's desires.",,Terror|Cooperativos en línea|Multijugador|Comedia|Cooperativos|Física|Primera persona|3D|Sigilo|Supervivencia|Robots|Acción|Exploración|Divertidos|Generación por procedimientos|Roguelike de acción|Posapocalípticos|Ciencia ficción|Muerte permanente|Acceso anticipado,Acción|Acceso anticipado,Inglés,https://store.steampowered.com/app/3241660/,https://store.steampowered.com/curator/37568178,https://store.steampowered.com/curator/37568178
264710,Subnautica,23 ENE 2018,Unknown Worlds Entertainment,Unknown Worlds Entertainment,311482,3874,Extremadamente positivas,Extremadamente positivas,29.99,7.49,75,17,27,0,True,False,False,"Desciende a las profundidades de un mundo submarino alienígena lleno de belleza y peligros. Crea equipamiento, pilota submarinos, terraforma el terreno, y burla los peligros para explorar exhuberantes arrecifes de coral, volcanes, sistemas de cuevas y más - Todo mientras intentas sobrevivir.",,Supervivencia en mundo abierto|Supervivencia|Terror|Subacuáticos|Mundo abierto|Exploración|Fabricación|Construcción de bases|Un jugador|Aventura|Primera persona|Ciencia ficción|Multijugador|Ambientales|Extraterrestres|Sandbox|Supervivencia / Terror|RV|Acción|Indie,Aventura|Indie,Español de España|Inglés|Francés|Alemán|Polaco|Ruso|Chino simplificado|Turco|Finés|Italiano|Checo|Húngaro|Danés|Japonés|Coreano|Portugués de Brasil|Búlgaro|Ucraniano|Holandés|Sueco|Vietnamita|Español de Hispanoamérica|Chino tradicional|Portugués de Portugal|Letón|Lituano|Eslovaco,https://store.steampowered.com/app/264710/,https://store.steampowered.com/developer/unknown-worlds,https://store.steampowered.com/publisher/unknown-worlds
952060,Resident Evil 3,2 ABR 2020,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",78204,9094,Muy positivas,Muy positivas,39.99,3.99,90,32,15,4,True,False,False,"Jill Valentine es una de las pocas personas que quedan en Raccoon City que han sido testigos de las atrocidades de Umbrella. Para detenerla, Umbrella decide usar su arma secreta definitiva: ¡Nemesis! También incluye Resident Evil Resistance, un nuevo modo multijugador online 1 contra 4.",RESIDENT EVIL 3 - Pack de atuendos clásicos|Resident Evil 3 - Todo desbloqueado|Resident Evil Resistance - Traje de superviviente masculino: Leon S. Kennedy|Resident Evil Resistance - Traje de superviviente femenina: Claire Redfield,Acción|Zombis|Multijugador|Terror|Protagonista femenina|Supervivencia / Terror|Un jugador|Versiones nuevas|Tercera persona|Cooperativos|Sangrientos|Disparos en tercera persona|Violentos|Buena trama|Ambientales|Aventura|Contenido sexual|Clásicos|Difíciles|Gran banda sonora,Acción,Español de España|Inglés|Francés|Italiano|Alemán|Portugués de Brasil|Polaco|Ruso|Chino simplificado|Chino tradicional|Japonés|Coreano|Árabe|Tailandés|Español de Hispanoamérica,https://store.steampowered.com/app/952060/,https://store.steampowered.com/developer/capcom,https://store.steampowered.com/publisher/capcom
3527290,PEAK,16 JUN 2025,Team PEAK,Aggro Crab,250093,9514,Muy positivas,Muy positivas,7.49,4.64,38,54,14,0,False,False,False,"PEAK es un juego cooperativo de escalada en el que un solo error puede ser fatal. Ya sea en solitario o en grupo, la única esperanza de salir de la misteriosa isla es subiendo hasta la cima de la montaña del centro. ¿Tenéis lo que hace falta para subir al PICO?",,Multijugador|Cooperativos en línea|Cooperativos|Física|Exploración|Aventura|Primera persona|Comedia|Generación por procedimientos|3D|Ambientales|Roguelike de acción|Acción|Gestión del tiempo|Personalización de personajes|Terror|Plataformas|Misterio|Investigación|Supervivencia / Terror,Acción|Aventura|Indie,Español de España|Inglés|Francés|Italiano|Alemán|Japonés|Coreano|Portugués de Brasil|Ruso|Chino simplificado|Español de Hispanoamérica|Ucraniano|Polaco|Turco,https://store.steampowered.com/app/3527290/,,https://store.steampowered.com/publisher/aggrocrab
686060,Mewgenics,10 FEB 2026,Edmund McMillen,Edmund McMillen,40299,7660,Muy positivas,Muy positivas,28.99,,,281,6,1,False,False,False,"Cría gatos para crear el ejército felino definitivo y envíalos a desafiantes aventuras. Elige habilidades, reúne objetos y manipula la genética de las generaciones en este juego roguelite estratégico por turnos de los creadores de «The Binding of Isaac» y «The End is Nigh».",Mewgenics ULTIMATE Original Soundtrack Of All Time,Tácticas por turnos|Roguelite|Humor negro|Estrategia por turnos|Gatos|Combate por turnos|Rol|Divertidos|Adorables|2D|Cómics|Terror|Caricaturescos|Surrealistas|Posapocalípticos|Las elecciones importan|No lineales|Tácticos|Magia|Ciencia ficción,Aventura|Indie|Rol|Simuladores|Estrategia,Español de España|Inglés|Francés|Italiano|Alemán|Portugués de Brasil,https://store.steampowered.com/app/686060/,,
3784030,RACCOIN: Coin Pusher Roguelike,31 MAR 2026,Doraccoon ,Playstack,1812,,Muy positivas,,11.99,9.83,18,23,10,0,True,False,False,"¡Cachín! ¿Oyes ese sonido? ¡Es el de la victoria! Combina las monedas especiales con los pines y crea sinergias increíbles para conseguir un gran combo. Crea torres altísimas, gira la ruleta y sacude la máquina hasta que no quede ni una moneda. ¡Dopamina en estado puro en este adictivo roguelike!",,Estrategia|Roguelike|Construcción de barajas|Constructor de barajas Roguelike|Un jugador|Estrategia por turnos|Casuales|2D|Coloridos|Generación por procedimientos|Roguelite|Adorables|Juegos de cartas|Física|Relajantes|Arcade|Las elecciones importan|Pixelados|Divertidos|Apuestas,Casual|Indie|Simuladores|Estrategia,Español de España|Inglés|Chino simplificado|Chino tradicional|Francés|Alemán|Japonés|Coreano|Portugués de Brasil|Español de Hispanoamérica,https://store.steampowered.com/app/3784030/,,https://store.steampowered.com/publisher/Playstack
553850,HELLDIVERS™ 2,8 FEB 2024,Arrowhead Game Studios,PlayStation Publishing LLC,812288,8850,Mayormente positivas,Variadas,39.99,,,38,14,1,False,False,False,"La última línea de ataque de la galaxia. Alístate en los Helldivers y únete a la lucha por la libertad en una galaxia hostil en un juego de disparos en tercera persona rápido, frenético y feroz.",HELLDIVERS™ 2 - TR-117 Alpha Commander Armor Set,Cooperativos en línea|JcE|Disparos en tercera persona|Multijugador|Disparos|Acción|Cooperativos|Ciencia ficción|Disparos y extracción|Capitalismo|Espacio|Tercera persona|Comedia|Sangrientos|Gran banda sonora|Violentos|Difíciles|Terror psicológico|Un jugador|Mundo abierto,Acción,Español de España|Inglés|Francés|Italiano|Alemán|Japonés|Coreano|Portugués de Brasil|Español de Hispanoamérica|Polaco|Portugués de Portugal|Ruso|Chino simplificado|Chino tradicional,https://store.steampowered.com/app/553850/,https://store.steampowered.com/developer/arrowhead,https://store.steampowered.com/publisher/playstationstudios
413150,Stardew Valley,26 FEB 2016,ConcernedApe,ConcernedApe,853922,11372,Extremadamente positivas,Extremadamente positivas,13.99,,,49,12,0,True,False,False,Acabas de heredar la vieja parcela agrícola de tu abuelo de Stardew Valley. Decides partir hacia una nueva vida con unas herramientas usadas y algunas monedas. ¿Te ves capaz de vivir de la tierra y convertir estos campos descuidados en un hogar próspero?,,Simulador agrícola|Pixelados|Multijugador|Simulador de vida|Rol|Relajantes|Simulación|Agricultura|Fabricación|Sandbox|Indie|Construcción|Casuales|Mundo abierto|Un jugador|2D|Simulador de citas|Adorables|Gran banda sonora|Pesca,Indie|Rol|Simuladores,Español de España|Inglés|Alemán|Japonés|Portugués de Brasil|Ruso|Chino simplificado|Francés|Italiano|Húngaro|Coreano|Turco,https://store.steampowered.com/app/413150/,https://store.steampowered.com/developer/ConcernedApe,https://store.steampowered.com/publisher/ConcernedApe
